name,screen diagonal,screen resolution,cpu,ram,storage type,storage size,price,link,gpu
Acer Aspire A315-54 NX.HEFER.01J черный,15.6 дюйм,1366x768,Intel Core i3 8145U,4 ГБ,SSD,512 ГБ,279990,https://kaspi.kz/shop/p/acer-aspire-a315-54-nx-hefer-01j-chernyi-100501334/?c=750000000,Intel UHD Graphics 620
HP ProBook 450 G7 8MH04EA серебристый,15.6 дюйм,1920x1080,Intel Core i7 10510U,8 ГБ,SSD,512 ГБ,599990,https://kaspi.kz/shop/p/hp-probook-450-g7-8mh04ea-serebristyi-100684258/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad S145-15API 81UT00GVRK черный,15.6 дюйм,1366x768,AMD Ryzen 5 3500U,8 ГБ,SSD,256 ГБ,279990,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15api-81ut00gvrk-chernyi-100673462/?c=750000000,AMD Radeon RX Vega 8
Lenovo Yoga Slim 7 14ITL05 82A30078RK фиолетовый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,487100,https://kaspi.kz/shop/p/lenovo-yoga-slim-7-14itl05-82a30078rk-fioletovyi-100987110/?c=750000000,Intel Iris Xe Graphics
Lenovo Yoga Slim 7 14ITL05 82A3007ARK серый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,480000,https://kaspi.kz/shop/p/lenovo-yoga-slim-7-14itl05-82a3007ark-seryi-100987043/?c=750000000,Intel Iris Xe Graphics
Xiaomi Redmibook 14 JYU4209CN серебристый,14 дюйм,1920x1080,AMD Ryzen 7 3700U,16 ГБ,SSD,512 ГБ,431555,https://kaspi.kz/shop/p/xiaomi-redmibook-14-jyu4209cn-serebristyi-100920889/?c=750000000,AMD Radeon RX Vega 10
Lenovo 330-15AST 81D600S5RK черный,15.6 дюйм,1366x768,AMD A9 9125,4 ГБ,HDD,1000 ГБ,199990,https://kaspi.kz/shop/p/lenovo-330-15ast-81d600s5rk-chernyi-100341976/?c=750000000,AMD Radeon R3
Acer Swift 3 SF314-59-5414 NX.A5UER.003 серебристый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,416500,https://kaspi.kz/shop/p/acer-swift-3-sf314-59-5414-nx-a5uer-003-serebristyi-100918504/?c=750000000,Intel Iris Xe Graphics
Acer Extensa 15 EX215-51K NX.EFZER.00Y черный,15.6 дюйм,1366x768,Intel Core i3 10110U,4 ГБ,SSD,512 ГБ,279990,https://kaspi.kz/shop/p/acer-extensa-15-ex215-51k-nx-efzer-00y-chernyi-100503087/?c=750000000,Intel UHD Graphics 620
Asus M509DA-BR582T 90NB0P52-M16590 серый,15.6 дюйм,1366x768,AMD Ryzen 3 3250U,4 ГБ,HDD,500 ГБ,259990,https://kaspi.kz/shop/p/asus-m509da-br582t-90nb0p52-m16590-seryi-100520046/?c=750000000,AMD Radeon Graphics
Lenovo IdeaPad S145-14IKB 81VB000XRK черный,14 дюйм,1366x768,Intel Core i3 7020U,4 ГБ,HDD,1000 ГБ,249990,https://kaspi.kz/shop/p/lenovo-ideapad-s145-14ikb-81vb000xrk-chernyi-100561103/?c=750000000,Intel HD Graphics 620
Apple MacBook Pro 13 2019 with Touch Bar MV972RU 512Gb серый,13.3 дюйм,2560x1600,Intel Core i5,8 ГБ,SSD,512 ГБ,740000,https://kaspi.kz/shop/p/apple-macbook-pro-13-2019-with-touch-bar-mv972ru-512gb-seryi-100083048/?c=750000000,Intel Iris Plus Graphics 655
Lenovo V15-IIL 82C500JQRU серый,15.6 дюйм,1920x1080,Intel Core i3 ,4 ГБ,SSD,256 ГБ,222000,https://kaspi.kz/shop/p/lenovo-v15-iil-82c500jqru-seryi-100775564/?c=750000000,Intel UHD Graphics
Acer Aspire 3 A315-42-R4WX NX.HF9ER.029 черный,15.6 дюйм,1920x1080,AMD Ryzen 7 3700U,8 ГБ,SSD,256 ГБ,350000,https://kaspi.kz/shop/p/acer-aspire-3-a315-42-r4wx-nx-hf9er-029-chernyi-101177902/?c=750000000,AMD Radeon RX Vega 10
Lenovo V14-ADA 82C6006ARU серый,14 дюйм,1366x768,AMD Athlon 3020e,4 ГБ,SSD,256 ГБ,139990,https://kaspi.kz/shop/p/lenovo-v14-ada-82c6006aru-seryi-101701711/?c=750000000,AMD Radeon Graphics
Lenovo V15-ADA 82C7009URU серый,15.6 дюйм,1920x1080,AMD Athlon Gold 3150U,4 ГБ,SSD,256 ГБ,159990,https://kaspi.kz/shop/p/lenovo-v15-ada-82c7009uru-seryi-100684246/?c=750000000,AMD Radeon Graphics
Dell Vostro 3401 210-AXEJ черный,13 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1024 ГБ,279990,https://kaspi.kz/shop/p/dell-vostro-3401-210-axej-chernyi-100798834/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad S145-15IIL 81W800KNRK черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,249900,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15iil-81w800knrk-chernyi-100328831/?c=750000000,Intel UHD Graphics
Apple MacBook Pro 13 2019 with Touch Bar MV972 серый,13.3 дюйм,2560x1600,Intel Core i5 8279U,8 ГБ,SSD,512 ГБ,878898,https://kaspi.kz/shop/p/apple-macbook-pro-13-2019-with-touch-bar-mv972-seryi-1306951/?c=750000000,Intel Iris Plus Graphics 655
Asus D509DA-EJ328 серебристый,15.6 дюйм,1920x1080,AMD Athlon Silver 3050U,4 ГБ,SSD,256 ГБ,223900,https://kaspi.kz/shop/p/asus-d509da-ej328-serebristyi-101426450/?c=750000000,AMD Radeon Vega Graphics
Lenovo IdeaPad S145 R341TUN 81UT00LGRK серый,15.6 дюйм,1366x768,AMD Ryzen 3 3200U,4 ГБ,HDD,1024 ГБ,235690,https://kaspi.kz/shop/p/lenovo-ideapad-s145-r341tun-81ut00lgrk-seryi-100908825/?c=750000000,AMD Radeon RX Vega 3
Lenovo IdeaPad 3 15IIL05 81WE0123RK серый,15.6 дюйм,1920x1080,Intel Core i5 1035G1,4 ГБ,SSD,256 ГБ,298790,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we0123rk-seryi-101461827/?c=750000000,Intel UHD Graphics
HP Pavilion 15-dw2043ur серебристый,15.6 дюйм,1920x1080,Intel Core i5 1035G1,4 ГБ,HDD,1000 ГБ,313690,https://kaspi.kz/shop/p/hp-pavilion-15-dw2043ur-serebristyi-100632869/?c=750000000,Intel UHD Graphics
Lenovo Ideapad S145 81W800LGRK черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,SSD,256 ГБ,229900,https://kaspi.kz/shop/p/lenovo-ideapad-s145-81w800lgrk-chernyi-100680560/?c=750000000,Intel UHD Graphics
HP 250 G7 197V0EA серый,15.6 дюйм,1920x1080,Intel Celeron N4020,4 ГБ,HDD,500 ГБ,209990,https://kaspi.kz/shop/p/hp-250-g7-197v0ea-seryi-101630431/?c=750000000,Intel UHD Graphics 600
Xiaomi RedmiBook Air 13 XMA2005-AB серый,13.3 дюйм,2560x1600,Intel Core i7 10510Y,16 ГБ,SSD,512 ГБ,490000,https://kaspi.kz/shop/p/xiaomi-redmibook-air-13-xma2005-ab-seryi-101100422/?c=750000000,Intel UHD Graphics 615
Lenovo IdeaPad S145-15IIL 81W800SEKG черный,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,250890,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15iil-81w800sekg-chernyi-101612446/?c=750000000,Intel UHD Graphics
HP ProBook 440 G8 32M52EA серебристый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,256 ГБ,364997,https://kaspi.kz/shop/p/hp-probook-440-g8-32m52ea-serebristyi-101688652/?c=750000000,Intel Iris Xe Graphics
Lenovo IdeaPad 3 15IIL05 81WE007LRK серый,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,189990,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we007lrk-seryi-101671835/?c=750000000,Intel UHD Graphics
Asus M515DA-BR399 90NB0T41-M05760 серый,15.6 дюйм,1366x768,AMD Athlon Silver 3050U,4 ГБ,SSD,256 ГБ,170100,https://kaspi.kz/shop/p/asus-m515da-br399-90nb0t41-m05760-seryi-101717859/?c=750000000,AMD Radeon Graphics
HP Pavilion 15-eg0075ur 2V9M4EA белый,15.6 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,343900,https://kaspi.kz/shop/p/hp-pavilion-15-eg0075ur-2v9m4ea-belyi-101524136/?c=750000000,Intel UHD Graphics
Lenovo Thinkpad A285 20KD0032RT черный,12.5 дюйм,1920x1080,AMD A12 9800B,16 ГБ,SSD,256 ГБ,555900,https://kaspi.kz/shop/p/lenovo-thinkpad-a285-20kd0032rt-chernyi-1306992/?c=750000000,AMD Radeon R7
Asus Laptop 15 D515DA D515DA-BQ120 90NB0T41-M01400 серый,15.6 дюйм,1920x1080,AMD Ryzen 5 3500U,8 ГБ,SSD,512 ГБ,282750,https://kaspi.kz/shop/p/asus-laptop-15-d515da-d515da-bq120-90nb0t41-m01400-seryi-101701255/?c=750000000,AMD Radeon RX Vega 8
Lenovo Yoga Slim 9 14ITL5 82D10028RU черный,14 дюйм,3840x2160,Intel Core i7 1165G7,16 ГБ,SSD,1024 ГБ,1087000,https://kaspi.kz/shop/p/lenovo-yoga-slim-9-14itl5-82d10028ru-chernyi-100972949/?c=750000000,Intel Iris Xe Graphics
Acer Extensa 15 EX215-51-32ET черный,15.6 дюйм,1920x1080,Intel Core i3 10110U,8 ГБ,SSD,256 ГБ,329900,https://kaspi.kz/shop/p/acer-extensa-15-ex215-51-32et-chernyi-100680744/?c=750000000,Intel UHD Graphics
Lenovo ThinkBook T15 20S6000NRT черный,15.6 дюйм,1920x1080,Intel Core i5 10210U,8 ГБ,SSD,512 ГБ,683261,https://kaspi.kz/shop/p/lenovo-thinkbook-t15-20s6000nrt-chernyi-100431517/?c=750000000,Intel UHD Graphics
Acer SF314-42-R5A4 NX.HSEER.007 серебристый,14 дюйм,1920x1080,AMD Ryzen 7 4700U,8 ГБ,SSD,512 ГБ,459990,https://kaspi.kz/shop/p/acer-sf314-42-r5a4-nx-hseer-007-serebristyi-100911444/?c=750000000,AMD Radeon Vega Mobile Graphics
Lenovo ThinkBook 14 G2 ITL 20VD0009RU серый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,256 ГБ,455489,https://kaspi.kz/shop/p/lenovo-thinkbook-14-g2-itl-20vd0009ru-seryi-101534301/?c=750000000,Intel UHD Graphics 620
Lenovo ThinkPad X1 Nano Gen 1 20UN005MRT черный,13.3 дюйм,2160x1440,Intel Core i7 1160G7,16 ГБ,SSD,512 ГБ,999000,https://kaspi.kz/shop/p/lenovo-thinkpad-x1-nano-gen-1-20un005mrt-chernyi-101508224/?c=750000000,Intel Iris Xe Graphics
Lenovo ThinkBook 14 IIL 20SL003NRU серый,14 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,269990,https://kaspi.kz/shop/p/lenovo-thinkbook-14-iil-20sl003nru-seryi-100897636/?c=750000000,Intel UHD Graphics
Dell Latitude 3410-8664 серый,14 дюйм,1366x768,Intel Core i3 10110U,4 ГБ,HDD,1000 ГБ,314668,https://kaspi.kz/shop/p/dell-latitude-3410-8664-seryi-101212410/?c=750000000,Intel UHD Graphics 620
Asus D515DA-EJ088T 90NB0T41-M08150 серый,15.6 дюйм,1920x1080,AMD Ryzen 5 3500U,8 ГБ,SSD,512 ГБ,321640,https://kaspi.kz/shop/p/asus-d515da-ej088t-90nb0t41-m08150-seryi-101688706/?c=750000000,AMD Radeon RX Vega 8
Lenovo ThinkBook 14 G2 20VD003BRU серый,14 дюйм,1920x1080,Intel Core i7 1165G7,16 ГБ,SSD,512 ГБ,499990,https://kaspi.kz/shop/p/lenovo-thinkbook-14-g2-20vd003bru-seryi-101276749/?c=750000000,Intel Iris Xe Graphics
HP Pavilion 14-dv0002ur 29Y18EA серебристый,14 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,512 ГБ,349898,https://kaspi.kz/shop/p/hp-pavilion-14-dv0002ur-29y18ea-serebristyi-101208516/?c=750000000,Intel Iris Xe Graphics
Lenovo ThinkPad X1 Yoga 4th Gen 20QF001URT серый,14 дюйм,1920x1080,Intel Core i5 8265U,8 ГБ,SSD,256 ГБ,829897,https://kaspi.kz/shop/p/lenovo-thinkpad-x1-yoga-4th-gen-20qf001urt-seryi-100102575/?c=750000000,Intel UHD Graphics 620
Lenovo Ideapad L340-15API 81LW0051RK черный,15.6 дюйм,1920x1080,AMD Ryzen 3 3200U,4 ГБ,SSD,256 ГБ,301278,https://kaspi.kz/shop/p/lenovo-ideapad-l340-15api-81lw0051rk-chernyi-100923006/?c=750000000,AMD Radeon RX Vega 3
Asus ROG Zephyrus GX701LWS-HG077T 90NR03R1-M01210 черный,17.3 дюйм,1920x1080,Intel Core i7 10875H,16 ГБ,SSD,1000 ГБ,1349900,https://kaspi.kz/shop/p/rog-zephyrus-gx701lws-hg077t-90nr03r1-m01210-chernyi-100980930/?c=750000000,NVIDIA GeForce RTX 2070 Super
HP EliteBook x360 830 G6 7KN45EA серебристый,13.3 дюйм,1920x1080,Intel Core i7 8565U,8 ГБ,SSD,256 ГБ,759900,https://kaspi.kz/shop/p/hp-elitebook-x360-830-g6-7kn45ea-serebristyi-100422269/?c=750000000,Intel HD Graphics 620
Lenovo Ideapad 5 14IIL05 81YH0065RK серый,14 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,512 ГБ,360425,https://kaspi.kz/shop/p/lenovo-ideapad-5-14iil05-81yh0065rk-seryi-100518851/?c=750000000,Intel UHD Graphics
HP EliteBook 830 G6 6XD75EA серебристый,13.3 дюйм,1920x1080,Intel Core i7 8565U,8 ГБ,SSD,256 ГБ,651700,https://kaspi.kz/shop/p/hp-elitebook-830-g6-6xd75ea-serebristyi-100422515/?c=750000000,Intel HD Graphics 620
Dell XPS 13 9300-4296 серебристый,13.4 дюйм,1920x1200,Intel Core i7 1065G7,16 ГБ,SSD,1000 ГБ,1059900,https://kaspi.kz/shop/p/dell-xps-13-9300-4296-serebristyi-100918501/?c=750000000,Intel Iris Plus Graphics
HP 15S-EQ1230UR 24D67EA черный,15.6 дюйм,1920x1080,AMD Ryzen 3 3250U,4 ГБ,SSD,256 ГБ,230000,https://kaspi.kz/shop/p/hp-15s-eq1230ur-24d67ea-chernyi-101006833/?c=750000000,AMD Radeon Graphics
Asus VivoBook S14 M433IA-EB276 90NB0QR4-M06290 серый,14 дюйм,1920x1080,AMD Ryzen 7 4700U,8 ГБ,SSD,256 ГБ,371900,https://kaspi.kz/shop/p/asus-vivobook-s14-m433ia-eb276-90nb0qr4-m06290-seryi-100832615/?c=750000000,AMD Radeon
Dell Vostro 3501 210-AXEO-B2 черный,13 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,SSD,256 ГБ,254990,https://kaspi.kz/shop/p/dell-vostro-3501-210-axeo-b2-chernyi-100958194/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad L340-15API 81LW0054RK серый,15.6 дюйм,1920x1080,AMD Ryzen 3 3200U,8 ГБ,SSD,256 ГБ,331350,https://kaspi.kz/shop/p/lenovo-ideapad-l340-15api-81lw0054rk-seryi-100963257/?c=750000000,AMD Radeon RX Vega 3
Xiaomi RedmiBook Air 13 XMA2005-AJ серый,13.3 дюйм,2560x1600,Intel Core i5 10210Y,16 ГБ,SSD,512 ГБ,430000,https://kaspi.kz/shop/p/xiaomi-redmibook-air-13-xma2005-aj-seryi-101099666/?c=750000000,Intel UHD Graphics 615
Xiaomi Mi Air 12.5 JYU4138CN серебристый,12.5 дюйм,1920x1080,Intel Core i5 8200Y,4 ГБ,SSD,256 ГБ,360000,https://kaspi.kz/shop/p/xiaomi-mi-air-12-5-jyu4138cn-serebristyi-100070596/?c=750000000,Intel UHD Graphics 615
HP EliteBook 840 G7 10U60EA серебристый,14 дюйм,1920x1080,Intel Core i5 10210U,8 ГБ,SSD,256 ГБ,610000,https://kaspi.kz/shop/p/hp-elitebook-840-g7-10u60ea-serebristyi-101188169/?c=750000000,Intel UHD Graphics 620
YEPO 737A6 YP-102299 серый,15.6 дюйм,1920x1080,Intel Celeron J3455,8 ГБ,SSD,128 ГБ,149479,https://kaspi.kz/shop/p/yepo-737a6-yp-102299-seryi-101455597/?c=750000000,Intel HD Graphics 500
YEPO 737A6-J4125 серый,15.6 дюйм,1920x1080,Intel Celeron J4125,8 ГБ,SSD,128 ГБ,155000,https://kaspi.kz/shop/p/yepo-737a6-j4125-seryi-101401707/?c=750000000,Intel UHD Graphics 600
HP Europe 840 G7 177H0EA#ACB серебристый,14 дюйм,1920x1080,Intel Core i7 10510U,8 ГБ,SSD,256 ГБ,498340,https://kaspi.kz/shop/p/hp-europe-840-g7-177h0ea-acb-serebristyi-101157055/?c=750000000,Intel UHD Graphics 620
Xiaomi RedmiBook 14 JYU4205CN серебристый,14 дюйм,1920x1080,AMD Ryzen 5 4500U,8 ГБ,SSD,512 ГБ,389990,https://kaspi.kz/shop/p/xiaomi-redmibook-14-jyu4205cn-serebristyi-100572863/?c=750000000,AMD Radeon RX Vega 6
HP 250 G7 1F3H2EA серебристый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,SSD,256 ГБ,289900,https://kaspi.kz/shop/p/hp-250-g7-1f3h2ea-serebristyi-100625254/?c=750000000,Intel UHD Graphics 620
Dell Vostro 3500 210-AXUD-4_UBU черный,15.6 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,256 ГБ,345812,https://kaspi.kz/shop/p/dell-vostro-3500-210-axud-4-ubu-chernyi-101351112/?c=750000000,Intel Iris Xe Graphics
Dell Vostro 3500 210-AXUD_UBU53 черный,15.6 дюйм,1920x1080,Intel Core i7 1165G7,8 ГБ,SSD,512 ГБ,391711,https://kaspi.kz/shop/p/dell-vostro-3500-210-axud-ubu53-chernyi-101351820/?c=750000000,Intel Iris Xe Graphics
Dell Vostro 3500 210-AXUD черный,15.6 дюйм,1920x1080,Intel Core i7 1165G7,8 ГБ,SSD,512 ГБ,449900,https://kaspi.kz/shop/p/dell-vostro-3500-210-axud-chernyi-101354428/?c=750000000,Intel Iris Xe Graphics
HP ProBook 650 G8 2Y2L0EA серебристый,15.6 дюйм,1920x1080,Intel Core i5 1135G7,8 ГБ,SSD,1000 ГБ,491682,https://kaspi.kz/shop/p/hp-probook-650-g8-2y2l0ea-serebristyi-101526024/?c=750000000,Intel UHD Graphics 620
HP 250 G7 197U0EA серебристый,15.6 дюйм,1920x1080,Intel Core i7 1065G7,16 ГБ,SSD,512 ГБ,524894,https://kaspi.kz/shop/p/hp-250-g7-197u0ea-serebristyi-100976178/?c=750000000,Intel UHD Graphics
HP 15S-FQ1111UR 220W2EA серебристый,15.6 дюйм,1920x1080,Intel Core i3 1005G1,8 ГБ,SSD,256 ГБ,241419,https://kaspi.kz/shop/p/hp-15s-fq1111ur-220w2ea-serebristyi-101006852/?c=750000000,Intel UHD Graphics
Lenovo ThinkPad X1 Carbon 20QD0034RT черный,14 дюйм,1920x1080,Intel Core i7 8565U,8 ГБ,SSD,256 ГБ,749990,https://kaspi.kz/shop/p/lenovo-thinkpad-x1-carbon-20qd0034rt-chernyi-100051617/?c=750000000,Intel UHD Graphics 620
Acer TravelMate P2 TMP214-52 NX.VLFET.015 черный,14 дюйм,1920x1080,Intel Pentium 6405U,4 ГБ,SSD,128 ГБ,139900,https://kaspi.kz/shop/p/acer-travelmate-p2-tmp214-52-nx-vlfet-015-chernyi-101602169/?c=750000000,Intel UHD Graphics
Dell Latitude 3510 210-AVLN черный,15.6 дюйм,1366x768,Intel Core i5 10210U,8 ГБ,HDD,1024 ГБ,333900,https://kaspi.kz/shop/p/dell-latitude-3510-210-avln-chernyi-100798827/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad 3 15IIL05 81WE00EPUS бежевый,15.6 дюйм,1920x1080,Intel Core i5 1035G1,8 ГБ,SSD,256 ГБ,294990,https://kaspi.kz/shop/p/lenovo-ideapad-3-15iil05-81we00epus-bezhevyi-101366823/?c=750000000,Intel HD Graphics G1
Lenovo IdeaPad 5 15ITL05 82FG0002US синий,15.6 дюйм,1920x1080,Intel Core i7 1165G7,12 ГБ,SSD,512 ГБ,414990,https://kaspi.kz/shop/p/lenovo-ideapad-5-15itl05-82fg0002us-sinii-101382427/?c=750000000,Intel Iris Xe Graphics
HP Spectre x360 15-eb1003ur 2X2A7EA синий,15.6 дюйм,3840x2160,Intel Core i7 1165G7,16 ГБ,SSD,1000 ГБ,899900,https://kaspi.kz/shop/p/hp-spectre-x360-15-eb1003ur-2x2a7ea-sinii-101312809/?c=750000000,Intel Iris Xe Graphics
Apple MacBook Pro 13 2020 MWP82 серебристый,13.3 дюйм,2560x1600,Intel Core i5 1038NG7,16 ГБ,SSD,1024 ГБ,1020000,https://kaspi.kz/shop/p/apple-macbook-pro-13-2020-mwp82-serebristyi-100379947/?c=750000000,Intel Iris Plus Graphics G7
HP Probook 450 G8 203F7EA серый,15.6 дюйм,1920x1080,Intel Core i7 1165G7,8 ГБ,SSD,256 ГБ,449700,https://kaspi.kz/shop/p/hp-probook-450-g8-203f7ea-seryi-101635993/?c=750000000,Intel Iris Xe Graphics
Lenovo Yoga Slim 7 15ITL05 82AC002QRK серый,15.6 дюйм,1920x1080,Intel Core i7 1165G7,16 ГБ,SSD,1000 ГБ,474990,https://kaspi.kz/shop/p/lenovo-yoga-slim-7-15itl05-82ac002qrk-seryi-101708959/?c=750000000,Intel Iris Xe Graphics
Dell Vostro 3480 210-ARLX_83465 черный,14 дюйм,1366x768,Intel Core i3 8145U,4 ГБ,SSD,128 ГБ,288000,https://kaspi.kz/shop/p/dell-vostro-3480-210-arlx-83465-chernyi-100024958/?c=750000000,Intel UHD Graphics 620
Dell XPS 13 9300-1901 210-AUQY-A2 серебристый,13.4 дюйм,1920x1200,Intel Core i5 1035G1,8 ГБ,SSD,512 ГБ,840960,https://kaspi.kz/shop/p/dell-xps-13-9300-1901-210-auqy-a2-serebristyi-100688106/?c=750000000,Intel UHD Graphics
Dell 14 Vostro 5401 210-AVNJ серый,14 дюйм,1920x1080,Intel Core i5 1035G1,8 ГБ,SSD,256 ГБ,368845,https://kaspi.kz/shop/p/dell-14-vostro-5401-210-avnj-seryi-100651428/?c=750000000,Intel UHD Graphics
YEPO 737A6 J3455 серый,15.6 дюйм,1920x1080,Intel Celeron J3455,8 ГБ,SSD,128 ГБ,149479,https://kaspi.kz/shop/p/yepo-737a6-j3455-seryi-101528461/?c=750000000,Intel HD Graphics 500
Acer Extensa EX2519 NX.EFAER.122 черный,15.6 дюйм,1366x768,Intel Celeron N3060,4 ГБ,HDD,500 ГБ,154990,https://kaspi.kz/shop/p/acer-extensa-ex2519-nx-efaer-122-chernyi-1307310/?c=750000000,Intel HD Graphics 400
Acer EX2519 NX.EFAER.12A черный,15.6 дюйм,1366x768,Intel Pentium N3710,4 ГБ,HDD,1000 ГБ,159990,https://kaspi.kz/shop/p/acer-ex2519-nx-efaer-12a-chernyi-1307584/?c=750000000,Intel HD Graphics
Acer Extensa 15 EX2519-P8V6 NX.EFAER.069 черный,15.6 дюйм,1366x768,Intel Pentium N3710,4 ГБ,HDD,500 ГБ,169990,https://kaspi.kz/shop/p/acer-extensa-15-ex2519-p8v6-nx-efaer-069-chernyi-100504420/?c=750000000,Intel HD Graphics 405
Lenovo Ideapad S145-15API 81UT00GWRK черный,15.6 дюйм,1366x768,AMD Ryzen 3 3200U,4 ГБ,HDD,1000 ГБ,195500,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15api-81ut00gwrk-chernyi-100505140/?c=750000000,AMD Radeon RX Vega 3
Lenovo Ideapad S145-15API 81UT00GQRK черный,15.6 дюйм,1366x768,AMD Athlon 300U,4 ГБ,HDD,1000 ГБ,187700,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15api-81ut00gqrk-chernyi-100529010/?c=750000000,AMD Radeon RX Vega 3
Acer A315-54K NX.HEEER.019 черный,15.6 дюйм,1366x768,Intel Core i3 7020U,4 ГБ,HDD,1000 ГБ,212900,https://kaspi.kz/shop/p/acer-a315-54k-nx-heeer-019-chernyi-100679928/?c=750000000,Intel HD Graphics 620
Acer EX215-51K NX.EFPER.002 черный,15.6 дюйм,1366x768,Intel Core i3 7020U,4 ГБ,HDD,500 ГБ,174990,https://kaspi.kz/shop/p/acer-ex215-51k-nx-efper-002-chernyi-100679976/?c=750000000,Intel HD Graphics 620
Lenovo Ideapad S145-15API 81UT00GRRK черный,15.6 дюйм,1366x768,AMD Ryzen 5 3500U,4 ГБ,SSD,256 ГБ,279990,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15api-81ut00grrk-chernyi-100918447/?c=750000000,AMD Radeon RX Vega 8
Dell Vostro 3501 210-AXEO-B серый,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,243990,https://kaspi.kz/shop/p/dell-vostro-3501-210-axeo-b-seryi-101099745/?c=750000000,Intel UHD Graphics
Dell Inspiron 3501 210-AWWX-A1 черный,15.6 дюйм,1920x1080,Intel Core i3 1005G1,4 ГБ,HDD,1000 ГБ,210890,https://kaspi.kz/shop/p/dell-inspiron-3501-210-awwx-a1-chernyi-101157648/?c=750000000,Intel UHD Graphics 620
HP 15s-eq1277ur 2X0M9EA серый,15.6 дюйм,1920x1080,AMD Athlon Gold 3150U,8 ГБ,SSD,256 ГБ,217660,https://kaspi.kz/shop/p/hp-15s-eq1277ur-2x0m9ea-seryi-101487174/?c=750000000,AMD Radeon HD
HP 15S-EQ1280UR 2X0P1EA серый,15.6 дюйм,1920x1080,AMD Athlon Gold 3150U,4 ГБ,SSD,256 ГБ,200756,https://kaspi.kz/shop/p/hp-15s-eq1280ur-2x0p1ea-seryi-101472819/?c=750000000,AMD Radeon
Lenovo IdeaPad S145-15IIL 81W800LFRK черный,15.6 дюйм,1366x768,Intel Core i3 1005G1,4 ГБ,SSD,256 ГБ,203700,https://kaspi.kz/shop/p/lenovo-ideapad-s145-15iil-81w800lfrk-chernyi-100673447/?c=750000000,Intel UHD Graphics
Asus Zenbook UX325EA-EG124 90NB0SL1-M03190 серый,13.3 дюйм,1920x1080,Intel Core i7 1165G7,16 ГБ,SSD,512 ГБ,489900,https://kaspi.kz/shop/p/asus-zenbook-ux325ea-eg124-90nb0sl1-m03190-seryi-101099477/?c=750000000,Intel Iris Graphics
Apple MacBook Air 13 2020 MVH42 серебристый,13.3 дюйм,2560x1600,Intel Core i5,8 ГБ,SSD,512 ГБ,568600,https://kaspi.kz/shop/p/apple-macbook-air-13-2020-mvh42-serebristyi-100233704/?c=750000000,Intel Iris Plus Graphics
Lenovo ThinkPad X1 Yoga 20UB0000RT серый,14 дюйм,3840x2160,Intel Core i7 10510U,16 ГБ,SSD,512 ГБ,1490000,https://kaspi.kz/shop/p/lenovo-thinkpad-x1-yoga-20ub0000rt-seryi-100697541/?c=750000000,Intel UHD Graphics
Lenovo IdeaPad 5 15IIL05 81YK00PJRU серый,15.6 дюйм,1920x1080,Intel Core i7 1065G7,16 ГБ,SSD,1024 ГБ,685497,https://kaspi.kz/shop/p/lenovo-ideapad-5-15iil05-81yk00pjru-seryi-100962502/?c=750000000,Intel Iris Plus Graphics
